row_id,claim,workload,status,required_evidence,evidence,claim_allowed,claim_forbidden,next_step
disp.2d,2D display pipeline,native fake-backend render path,pass,"3 frames, 3 transfers, 3 flushes, 6 fences",results/native_tests.log,"VirtIO-GPU 2D command ordering, DMA backing, scanout, flush, and fence synchronization work in the native harness.","GPU acceleration, virgl rendering, or Mesa compatibility.",Keep as regression gate for all display-path changes.
proto.api-contract,API contract,VirtIO-GPU/GL fake-backend API coverage,pass,"capsets, context, blob, submit, and fence counters",results/native_tests.log,Guest API contract and fake-backend semantics are covered.,Host virglrenderer execution or hardware acceleration.,Add real-device checks when virgl command encoding lands.
gfx.kmscube.sw,kmscube software-render proof,kmscube compatibility + native app-performance path,pass,"kmscube compatibility, 2D render pipeline pass, and generated app-performance row",results/app_perf.json; avg_frame_ms=2.143; fps=466.57; transfers=60; flushes=60; fences=120,Upstream kmscube source can be supported through VOGUE shims and software-rendered scanout; native software-path frame cost is measured.,"K1 virgl rendering, hardware acceleration, full Mesa compatibility, or QEMU performance.",Implement non-software virgl/Venus render payloads for K1.
gfx.glmark2.sw,glmark2 scene-clear substrate,EGL scene-clear native app-performance path,pass,generated scene-clear app-performance row,results/app_perf.json; avg_frame_ms=5.645; fps=177.14; transfers=120; flushes=120; fences=240,The scene-clear subset exercises EGL-style clear/present costs through the same substrate and reports native frame cost.,"Full glmark2 suite score, QEMU performance, or GPU acceleration.",Collect same-run QEMU and full-scene logs after K1 exists.
xport.gl-probe,virgl device discovery,QEMU VirtIO-GPU-GL probe,pass,capset discovery recorded in prior run evidence,paper/sections/08-evaluation.typ,The tested host exposes a GL-capable VirtIO-GPU path for future K1 work.,Rendering or acceleration without a virgl command stream.,"Tie future K1 runs to same-run capset, submit, and frame evidence."
gfx.kmscube.submit,virgl SUBMIT_3D delivery proven,kmscube emits SURFACE+SET_FRAMEBUFFER+CLEAR via virgl_encoder.c and SUBMIT_3D is delivered to host virglrenderer under virtio-gpu-gl-pci,pass,Same-run guest log shows renderer=virgl with non-zero submits_3d,results/kmscube_vgpu_gl/run/build.log;results/kmscube_vgpu_gl/run/run.log;results/kmscube_vgpu_gl/run/frame-proof.json;results/kmscube_vgpu_gl/run/mesa-feasibility.json,Transport-level proof: the guest constructs a valid Gallium command stream and the host accepts SUBMIT_3D over the virgl context.,"Pixel-correct frame, accelerated rendering, or any visual fidelity claim.",See gfx.kmscube.frame for the pixel-correct gate.
gfx.kmscube.frame,virgl pixel-correct frame,kmscube renders a deterministic CLEAR/colour frame that survives virglrenderer's resource classifier and produces real pixels in the QMP screendump,pass,Same-run frame_pixel_proof.json with pixel_variance_ok and colour_band_ok,results/kmscube_vgpu_gl/run/frame_pixel_proof.json,Only a non-blank screendump whose mean colour matches the encoded CLEAR colour per frame may promote this row.,"Software rendering, SUBMIT_3D-only proof, or capset probe.","Land .bind=PIPE_BIND_RENDER_TARGET in app-kmscube/main.c, rebuild the appliance, rerun kmscube-run, and let kmscube_vgpu_gl_eval.py emit frame_pixel_proof.json from the real PPM."
vk.drm-shim,libukvirtgpu_drm UAPI shim — DRM ioctl replay,"drm_virtgpu_test: GETPARAM, CONTEXT_INIT, RESOURCE_CREATE_BLOB, MAP, EXECBUFFER, WAIT",pass,44 ioctl replay checks including Venus capset detection and host-coherent mapping,results/native_tests.log,Mesa/Linux virtgpu DRM ioctl surface is translated to VirtIO-GPU protocol by the shim; native test passes against fake backend with Venus (id=4) capset support.,"Full Venus Vulkan rendering, vk.icd ICD, or hardware acceleration.",vk.icd (Vulkan ICD shim) requires vk.drm-shim to be passing first.
proto.real-driver,VirtIO-GPU/Venus real-driver ABI and static controlq gate,proto ABI + real backend static source gate,pass,Linux 6.18 wire ABI plus real controlq command implementation,results/venus/venus_perf.json,The project-local real backend implements the required 3D/blob/context/submit controlq surface and passes static/native gates.,"Host-visible mmap success, Vulkan runtime success, STK, or GPU acceleration.",Keep as a required pre-QEMU regression gate.
xport.qemu-vgpu,QEMU 11.0 VirtIO-GPU Venus probe,"real Unikraft image under qemu virtio-gpu-gl,blob=true,venus=true",pass,Same-run QEMU log and structured blocker/pass artifact,results/venus/qemu_2d_probe.json,If pass: real QEMU VirtIO-GPU device reached the guest driver. If blocked: only the named transport blocker is established.,"Acceleration, Vulkan smoke, or STK readiness unless status is pass.",Resolve QEMU/Unikraft transport blocker and rerun venus-check.
vk.readiness,Venus readiness/performance gate,static-gate timing plus QEMU blocker/pass correlation,pass,JSON/CSV/MD benchmark summary for Venus readiness,results/venus/venus_perf.json,Benchmark/evaluation artifacts are generated and preserve the acceleration claim boundary.,Real Venus GPU performance unless xport.qemu-vgpu and Vulkan smoke pass.,Current acceleration_status=ready-for-venus-smoke; rerun after modern PCI/host-visible support.
proto.venus-enc,Venus command serialization wire-format correctness,libukvenus: PACKED encoding + uint32 array_size per Mesa vn_encode_array_size(),pass,vulkan_registry_check (9 command IDs vs vk.xml/Mesa/VK_EXT_command_serialization.xml); venus_cs_test encoding layout assertions for all bootstrap commands,results/vulkan/vulkan_registry_check.json;libs/libukvenus/venus_cs.c,"Venus encoder uses PACKED wire format (no inter-field alignment padding; uint64 not 8-byte aligned in stream); array presence fields are uint32 array_size per Mesa protocol, not uint64 pointer flags. Commands match vk.xml and Mesa vn_protocol_driver_defines.h. Encoding is parseable by virglrenderer's vkr_context_submit_cmd.","GPU acceleration, rendering, or Vulkan conformance; registry check validates IDs only, not runtime correctness.",Keep as regression gate; rerun vulkan_registry_check after any venus.h ID changes.
